model,MAE,RMSE
30-4-8-4-16_4-1-2-2-8-2-0.95,0.019645896,0.032803353
30-2-8-8-16_4-1-2-2-8-1-0.95,0.020153308,0.032804515
30-2-8-4-16_4-1-2-2-8-2-0.95,0.019830514,0.032815784
30-2-4-8-16_4-1-2-2-8-1-0.95,0.019652616,0.032853603
30-4-4-8-8_4-1-2-2-8-2-0.95,0.019726645,0.032885123
30-4-8-4-8_4-1-2-2-8-1-0.95,0.020068357,0.032890797
30-2-8-4-8_4-1-2-2-16-1-0.95,0.020065676,0.032907482
30-4-8-4-8_4-1-2-2-16-2-0.95,0.020212367,0.032909814
30-4-8-8-16_4-1-2-2-8-1-0.95,0.020444684,0.032974087
30-2-4-4-16_4-1-2-2-8-2-0.95,0.021230709,0.033088554
30-2-8-4-16_4-1-2-2-16-2-0.95,0.020791769,0.03310392
30-4-8-4-16_4-1-2-2-16-2-0.95,0.019998219,0.03313965
30-4-4-8-8_4-1-2-2-16-2-0.95,0.021112602,0.033141855
30-2-4-4-16_4-1-2-2-16-2-0.95,0.020117536,0.033154078
30-2-8-4-16_4-1-2-2-16-1-0.95,0.020189095,0.033206303
30-2-4-8-16_4-1-2-2-8-2-0.95,0.019800708,0.033251256
30-2-8-8-8_4-1-2-2-16-2-0.95,0.020364935,0.033325925
30-4-8-4-16_4-1-2-2-8-1-0.95,0.020225404,0.03333752
30-4-4-4-8_4-1-2-2-16-1-0.95,0.019959398,0.03334913
30-2-8-8-16_4-1-2-2-8-2-0.95,0.020219436,0.033390697
30-4-4-4-8_4-1-2-2-16-2-0.95,0.020155653,0.033396482
30-4-8-4-16_4-1-2-2-16-1-0.95,0.02030766,0.033401623
30-2-8-8-8_4-1-2-2-8-2-0.95,0.020460332,0.033410512
30-4-4-4-8_4-1-2-2-8-2-0.95,0.02162785,0.033455532
30-2-8-4-8_4-1-2-2-8-1-0.95,0.020156084,0.033481106
30-4-8-8-8_4-1-2-2-16-2-0.95,0.020332752,0.033501144
30-4-4-8-16_4-1-2-2-16-1-0.95,0.020204041,0.0335382
30-4-8-4-8_4-1-2-2-16-1-0.95,0.020521743,0.033632904
30-2-8-4-8_4-1-2-2-8-2-0.95,0.020482346,0.033695873
30-4-4-4-16_4-1-2-2-16-1-0.95,0.020110145,0.03369702
30-2-8-8-16_4-1-2-2-16-1-0.95,0.020549042,0.03371191
30-2-4-4-8_4-1-2-2-8-1-0.95,0.020134566,0.033734802
30-2-4-4-8_4-1-2-2-16-1-0.95,0.020138206,0.033751696
30-4-4-4-16_4-1-2-2-8-1-0.95,0.020362502,0.033845317
30-2-4-4-8_4-1-2-2-8-2-0.95,0.020433117,0.033854984
30-2-8-8-8_4-1-2-2-8-1-0.95,0.020583875,0.033949483
30-2-4-8-8_4-1-2-2-8-1-0.95,0.020505317,0.03396143
30-4-8-4-8_4-1-2-2-8-2-0.95,0.020635642,0.03399916
30-4-4-4-8_4-1-2-2-8-1-0.95,0.020352362,0.034027565
30-4-8-8-8_4-1-2-2-8-1-0.95,0.020265393,0.03403925
30-4-8-8-8_4-1-2-2-8-2-0.95,0.020336706,0.03405207
30-2-4-8-8_4-1-2-2-16-2-0.95,0.020524874,0.03407197
30-2-4-8-8_4-1-2-2-16-1-0.95,0.020185048,0.034139182
30-2-8-4-16_4-1-2-2-8-1-0.95,0.020558968,0.034177218
30-2-8-8-16_4-1-2-2-16-2-0.95,0.02042929,0.034219354
30-4-4-8-16_4-1-2-2-8-1-0.95,0.02034734,0.034230314
30-4-8-8-8_4-1-2-2-16-1-0.95,0.020675626,0.034234777
30-2-4-8-16_4-1-2-2-16-1-0.95,0.020439275,0.03428786
30-4-8-8-16_4-1-2-2-16-2-0.95,0.022326408,0.034295224
30-2-4-4-16_4-1-2-2-8-1-0.95,0.02072656,0.034295496
30-2-4-4-16_4-1-2-2-16-1-0.95,0.020520287,0.034322523
30-2-4-8-16_4-1-2-2-16-2-0.95,0.020357143,0.034338962
30-2-4-8-8_4-1-2-2-8-2-0.95,0.02121991,0.034771226
30-2-8-8-8_4-1-2-2-16-1-0.95,0.021347696,0.034943473
30-4-4-8-16_4-1-2-2-8-2-0.95,0.021162877,0.034945782
30-4-8-8-16_4-1-2-2-16-1-0.95,0.02162935,0.035018638
30-4-4-8-8_4-1-2-2-16-1-0.95,0.021274459,0.035020165
30-4-4-8-8_4-1-2-2-8-1-0.95,0.021361686,0.03516948
30-4-4-4-16_4-1-2-2-8-2-0.95,0.024107592,0.035358153
30-4-4-8-16_4-1-2-2-16-2-0.95,0.022122193,0.035708316
30-2-8-4-8_4-1-2-2-16-2-0.95,0.023487063,0.036287233
30-2-4-4-8_4-1-2-2-16-2-0.95,0.025173716,0.036586653
30-4-4-4-16_4-1-2-2-16-2-0.95,0.02686404,0.036601163
30-4-8-8-16_4-1-2-2-8-2-0.95,0.022180075,0.03662934
model,MAE,RMSE
