model,MAE,RMSE
18-3-8-16-16_4-1-2-1-16-1-0.75,0.08880799,0.0954409
18-3-8-16-16_4-1-3-1-16-1-0.75,0.069785655,0.08141282
model,MAE,RMSE
18-3-8-16-16_4-1-3-1-16-1-0.75,0.022339724,0.03740753
18-3-8-16-16_4-1-3-1-16-1-0.9,0.02260419,0.036866847
24-3-9-16-16_4-1-3-1-8-1-0.75,0.022021966,0.034716036
18-3-9-16-16_4-1-3-1-16-1-0.9,0.022626037,0.037163824
18-3-9-16-16_4-1-3-1-16-1-0.75,0.023239851,0.03724825
24-3-20-16-16_4-1-3-1-8-1-0.75,0.023704553,0.037022766
24-3-9-16-16_4-1-3-1-8-1-0.9,0.024777668,0.037318632
18-2-8-16-16_4-1-2-1-16-1-0.75,0.02031839,0.034004796
18-4-8-16-16_4-1-3-1-8-1-0.75,0.023412667,0.037478335
18-4-9-16-16_4-1-3-1-8-1-0.75,0.023305219,0.037522405
24-3-20-16-16_4-1-3-1-8-1-0.9,0.02156455,0.035406113
18-2-8-16-16_4-3-2-1-16-1-0.75,0.042443346,0.061864935
24-4-9-16-16_4-1-2-1-16-1-0.75,0.02004555,0.033430137
18-2-9-16-16_4-3-2-1-16-1-0.75,0.06172448,0.076945566
18-4-8-16-16_4-1-3-1-8-1-0.9,0.022747574,0.035881173
24-2-9-16-16_4-1-2-1-8-1-0.75,0.02023406,0.033173013
18-4-8-16-16_4-1-2-1-8-1-0.75,0.020290632,0.0340294
18-4-9-16-16_4-1-3-1-8-1-0.9,0.023364745,0.036966003
24-4-9-16-16_4-3-2-1-16-1-0.75,0.064308435,0.07937131
18-2-8-16-16_4-1-2-1-16-1-0.9,0.020369232,0.03392941
18-3-8-16-16_4-3-3-1-16-1-0.75,0.026520096,0.040296976
18-3-9-16-16_4-3-3-1-16-1-0.75,0.026991189,0.040418044
24-4-20-16-16_4-3-2-1-16-1-0.75,0.060997874,0.06985937
18-2-8-16-16_4-3-3-1-16-1-0.75,0.029498052,0.04497851
24-2-9-16-16_4-3-2-1-8-1-0.75,0.044912867,0.06740906
18-2-9-16-16_4-3-3-1-16-1-0.75,0.02831887,0.041422047
18-2-9-16-16_4-1-2-1-16-1-0.75,0.021153629,0.033068627
24-2-20-16-16_4-1-2-1-8-1-0.75,0.021448934,0.03416687
24-2-20-16-16_4-3-2-1-8-1-0.75,0.024805779,0.03851946
18-4-8-16-16_4-3-2-1-8-1-0.75,0.03715457,0.054449093
18-2-9-16-16_4-1-2-1-16-1-0.9,0.020208744,0.033568647
24-4-20-16-16_4-1-2-1-16-1-0.75,0.021062955,0.032982722
24-3-9-16-16_4-3-3-1-8-1-0.75,0.03185847,0.044819657
18-4-9-16-16_4-1-2-1-8-1-0.75,0.020118944,0.03331721
18-2-8-16-16_4-3-2-1-16-1-0.9,0.053214893,0.07546841
18-3-8-16-16_4-3-2-1-8-1-0.75,0.05434673,0.071690075
18-4-9-16-16_4-3-2-1-8-1-0.75,0.04689361,0.06510714
18-2-8-16-16_4-1-3-1-16-1-0.75,0.024302159,0.03814702
24-3-20-16-16_4-3-3-1-8-1-0.75,0.025410544,0.03903045
18-3-9-16-16_4-3-2-1-8-1-0.75,0.04277143,0.067063466
24-4-9-16-16_4-3-2-1-16-1-0.9,0.051145736,0.075342104
18-3-8-16-16_4-3-3-1-16-1-0.9,0.035710264,0.049788047
18-2-9-16-16_4-3-2-1-16-1-0.9,0.035966765,0.05373325
18-2-9-16-16_4-1-3-1-16-1-0.75,0.022442197,0.036175646
18-4-8-16-16_4-3-3-1-8-1-0.75,0.02496772,0.03850243
18-3-9-16-16_4-3-3-1-16-1-0.9,0.029957615,0.044034697
24-4-20-16-16_4-3-2-1-16-1-0.9,0.04197628,0.057021003
24-2-9-16-16_4-3-2-1-8-1-0.9,0.030019788,0.045004215
18-4-8-16-16_4-3-2-1-8-1-0.9,0.04149793,0.06732842
18-4-9-16-16_4-3-3-1-8-1-0.75,0.026723992,0.04016576
24-3-9-16-16_4-3-3-1-8-1-0.9,0.024712503,0.038010884
18-2-8-16-16_4-3-3-1-16-1-0.9,0.040357474,0.05542141
18-4-9-16-16_4-3-2-1-8-1-0.9,0.031053552,0.047288414
18-4-8-16-16_4-1-2-1-8-1-0.9,0.020036383,0.03275836
