model,MAE,RMSE
18-3-10-8-16_4-1-3-2-16-1-0.75,0.29139146,0.46997735
18-3-10-8-16_4-1-2-2-16-1-0.9,0.2916765,0.4857253
12-4-4-8-16_4-3-2-2-8_4-1-0.95,0.29168397,0.49636197
18-3-9-8-16_4-1-2-2-16-1-0.9,0.29175273,0.49059215
18-2-10-8-16_4-1-2-2-16-1-0.95,0.29275718,0.4859382
18-3-8-8-16_4-1-2-2-16-2-0.9,0.29297996,0.47206298
18-3-8-8-16_4-1-2-2-16-1-0.9,0.29324228,0.48255432
12-4-4-8-16_4-1-2-2-8_4-2-0.95,0.29342702,0.4704076
18-3-9-8-16_4-1-2-2-16-2-0.95,0.29375917,0.48371732
18-2-9-8-16_4-1-2-2-16-1-0.9,0.29433852,0.47627762
18-3-9-8-16_4-1-2-2-16-2-0.9,0.29459542,0.48017818
12-4-4-8-16_4-1-2-2-8_4-1-0.95,0.29463977,0.48649955
18-2-9-8-16_4-1-2-2-16-2-0.75,0.29491806,0.4902504
18-3-8-8-16_4-1-2-2-16-2-0.95,0.2954057,0.49325702
18-2-9-8-16_4-1-2-2-16-1-0.75,0.29552123,0.48123255
18-3-8-8-16_4-1-2-2-16-1-0.75,0.29559857,0.4928308
18-2-8-8-16_4-1-2-2-16-1-0.9,0.29560664,0.4893423
18-3-10-8-16_4-1-2-2-16-2-0.95,0.29598367,0.47943607
18-2-8-8-16_4-1-2-2-16-2-0.9,0.29685003,0.4703642
18-3-8-8-16_4-1-2-2-16-1-0.95,0.29736558,0.4835073
18-2-8-8-16_4-1-2-2-16-1-0.75,0.2983026,0.48068377
18-3-10-8-16_4-1-2-2-16-2-0.9,0.2986236,0.48063296
12-2-4-8-16_4-1-2-2-8_4-1-0.95,0.29875872,0.5044415
18-3-10-8-16_4-1-2-2-16-1-0.75,0.29877326,0.49557343
12-2-4-8-16_4-3-2-2-8_4-2-0.95,0.29896137,0.46655482
18-3-10-8-16_4-1-2-2-16-2-0.75,0.29961035,0.48992288
18-2-10-8-16_4-1-2-2-16-1-0.9,0.30035475,0.496733
18-2-8-8-16_4-1-2-2-16-1-0.95,0.30054408,0.48283306
18-2-10-8-16_4-1-2-2-16-2-0.9,0.30139545,0.48075712
18-2-9-8-16_4-1-2-2-16-1-0.95,0.30143067,0.49015275
18-2-9-8-16_4-1-2-2-16-2-0.9,0.30154106,0.47483972
18-2-8-8-16_4-1-2-2-16-2-0.75,0.30157107,0.48076344
18-2-10-8-16_4-1-2-2-16-2-0.95,0.3021393,0.48053414
12-2-4-8-16_4-1-2-2-8_4-2-0.95,0.30244908,0.48669663
18-3-8-8-16_4-1-2-2-16-2-0.75,0.30278504,0.5083315
18-2-10-8-16_4-1-2-2-16-2-0.75,0.30297074,0.4876916
18-2-8-8-16_4-1-2-2-16-2-0.95,0.3033878,0.4961932
18-3-9-8-16_4-1-2-2-16-1-0.75,0.3052831,0.4863912
18-3-9-8-16_4-1-3-2-16-1-0.9,0.30713424,0.50027895
18-3-9-8-16_4-1-3-2-16-1-0.75,0.30810672,0.47392142
18-3-10-8-16_4-3-2-2-16-2-0.9,0.30856758,0.4911236
18-3-9-8-16_4-1-2-2-16-2-0.75,0.3091361,0.52028763
18-3-10-8-16_4-1-3-2-16-2-0.75,0.3098403,0.49114713
18-3-10-8-16_4-1-2-2-16-1-0.95,0.31050056,0.48316395
18-3-9-8-16_4-1-2-2-16-1-0.95,0.3109556,0.4891877
18-3-8-8-16_4-1-3-2-16-1-0.75,0.31146634,0.4732571
18-2-9-8-16_4-1-2-2-16-2-0.95,0.313284,0.47696015
12-2-4-8-16_4-3-2-2-8_4-1-0.95,0.3149089,0.4971805
18-3-8-8-16_4-1-3-2-16-2-0.75,0.31549865,0.5049669
18-3-10-8-16_4-3-2-2-16-1-0.95,0.3160541,0.47611007
18-2-9-8-16_4-3-2-2-16-2-0.9,0.31624526,0.48695672
18-2-10-8-16_4-3-2-2-16-1-0.9,0.31649,0.49516144
18-2-9-8-16_4-1-3-2-16-1-0.95,0.31866324,0.48984718
18-2-9-8-16_4-1-3-2-16-2-0.95,0.31890824,0.52345496
18-3-8-8-16_4-1-3-2-16-1-0.9,0.31907734,0.5239007
18-3-9-8-16_4-1-3-2-16-2-0.75,0.32135278,0.48916698
18-3-10-8-16_4-3-2-2-16-2-0.75,0.3227257,0.48285007
18-3-9-8-16_4-3-2-2-16-2-0.95,0.32354927,0.50434464
18-3-8-8-16_4-3-2-2-16-2-0.9,0.32393658,0.5078769
18-2-8-8-16_4-1-3-2-16-2-0.75,0.3247861,0.49454418
18-2-10-8-16_4-1-2-2-16-1-0.75,0.3248588,0.4938307
18-2-8-8-16_4-3-2-2-16-2-0.9,0.32487267,0.47917607
18-3-9-8-16_4-3-2-2-16-1-0.95,0.32552335,0.48596045
18-3-8-8-16_4-3-2-2-16-1-0.95,0.3257746,0.4948413
18-2-9-8-16_4-1-3-2-16-2-0.9,0.32809272,0.50063586
18-2-9-8-16_4-3-2-2-16-2-0.75,0.32870984,0.4893389
18-2-10-8-16_4-3-2-2-16-1-0.75,0.32944122,0.5086985
18-3-10-8-16_4-3-2-2-16-1-0.9,0.32986668,0.49336633
18-2-9-8-16_4-3-3-2-16-1-0.9,0.33078805,0.5368995
18-3-9-8-16_4-3-2-2-16-1-0.75,0.33165723,0.5070078
