
model,MAE,RMSE
18-2-8-8-16_4-1-3-2-64-2-0.95,0.024043854,0.0387042
18-2-8-8-32_4-1-3-2-64-1-0.95,0.0234778,0.03560115
18-2-10-8-16_4-1-3-2-64-2-0.95,0.024947122,0.03707595
18-4-8-8-16_4-1-3-2-64-1-0.95,0.034753338,0.04060115
18-2-8-8-16_4-1-2-2-64-1-0.95,0.019950263,0.032886256
18-4-8-8-16_4-1-3-2-128-2-0.95,0.023792783,0.034518734
18-2-8-8-16_4-1-2-2-128-2-0.95,0.020467818,0.03199144
18-2-10-8-32_4-1-3-2-64-1-0.95,0.024010256,0.06222252
24-2-8-8-16_4-1-3-2-64-2-0.95,0.022328036,0.038456623
18-4-8-8-16_4-1-2-2-128-1-0.95,0.019693058,0.031761553
18-4-8-8-32_4-1-2-2-64-2-0.95,0.019990936,0.033867225
18-4-10-8-16_4-1-3-2-64-1-0.95,0.032702446,0.052751847
24-2-10-8-16_4-1-3-2-64-2-0.95,0.022750406,0.037073217
18-2-10-8-16_4-1-2-2-64-1-0.95,0.020512931,0.036515288
18-4-10-8-16_4-1-3-2-128-2-0.95,0.030631918,0.042020865
18-2-10-8-16_4-1-2-2-128-2-0.95,0.020230405,0.03321524
24-2-8-8-32_4-1-3-2-64-1-0.95,0.085870974,0.051267058
18-4-10-8-16_4-1-2-2-128-1-0.95,0.020321932,0.03234949
18-4-8-8-16_4-1-3-2-64-2-0.95,0.029646624,0.043365292
18-4-10-8-32_4-1-2-2-64-2-0.95,0.020104215,0.03323599
24-4-8-8-16_4-1-3-2-128-2-0.95,0.02453822,0.035827205
24-4-8-8-16_4-1-3-2-64-1-0.95,0.02201413,0.032681957
24-2-10-8-32_4-1-3-2-64-1-0.95,0.027082864,0.034572072
18-4-10-8-16_4-1-3-2-64-2-0.95,0.023432631,0.03973346
24-4-10-8-16_4-1-3-2-64-1-0.95,0.024842354,0.038864113
24-2-8-8-16_4-1-2-2-128-2-0.95,0.021294123,0.03255499
24-4-10-8-16_4-1-3-2-128-2-0.95,0.036605485,0.037519995
24-2-8-8-16_4-1-2-2-64-1-0.95,0.01993839,0.032931942
18-4-8-8-32_4-1-3-2-64-1-0.95,0.026357442,0.03986775
24-4-8-8-16_4-1-2-2-128-1-0.95,0.020335112,0.034272596
24-4-8-8-16_4-1-3-2-64-2-0.95,0.027711563,0.045042764
24-4-8-8-32_4-1-2-2-64-2-0.95,0.019653922,0.033300295
18-2-8-8-16_4-1-2-2-64-2-0.95,0.021444056,0.03579174
18-4-10-8-32_4-1-3-2-64-1-0.95,0.03653464,0.05799783
18-2-8-8-32_4-1-2-2-64-1-0.95,0.026264064,0.03220437
24-2-10-8-16_4-1-2-2-128-2-0.95,0.021960922,0.03253907
24-4-10-8-16_4-1-3-2-64-2-0.95,0.023590084,0.049554564
18-2-10-8-16_4-1-2-2-64-2-0.95,0.020573767,0.032430615
24-4-8-8-32_4-1-3-2-64-1-0.95,0.024211213,0.039194327
24-2-10-8-16_4-1-2-2-64-1-0.95,0.020069797,0.032416124
24-4-10-8-32_4-1-2-2-64-2-0.95,0.022943467,0.033330593
18-2-10-8-32_4-1-2-2-64-1-0.95,0.020598236,0.034167625
24-4-10-8-16_4-1-2-2-128-1-0.95,0.022453453,0.03349547
18-4-8-8-16_4-1-2-2-128-2-0.95,0.021427387,0.03463524
24-4-10-8-32_4-1-3-2-64-1-0.95,0.023804426,0.03375846
18-2-8-8-16_4-1-2-2-128-1-0.95,0.0200208,0.03403513
18-2-8-8-16_4-1-3-2-128-1-0.95,0.047650922,0.051121816
18-2-8-8-32_4-1-3-2-64-2-0.95,0.022060797,0.036314115
24-2-8-8-16_4-1-2-2-64-2-0.95,0.019854147,0.033037405
18-2-10-8-16_4-1-3-2-128-1-0.95,0.024969306,0.034659382
18-4-8-8-16_4-1-2-2-64-1-0.95,0.04158027,0.033452682
24-2-8-8-32_4-1-2-2-64-1-0.95,0.02268808,0.033124477
18-2-10-8-32_4-1-3-2-64-2-0.95,0.02231478,0.03613108
18-2-8-8-32_4-1-2-2-64-2-0.95,0.021777082,0.032273006
18-4-10-8-16_4-1-2-2-128-2-0.95,0.020470679,0.032935347
24-2-8-8-16_4-1-3-2-128-1-0.95,0.024171507,0.03531329
24-2-8-8-32_4-1-3-2-64-2-0.95,0.023122005,0.038751908
18-2-10-8-16_4-1-2-2-128-1-0.95,0.019996356,0.03197904
18-4-10-8-16_4-1-2-2-64-1-0.95,0.022296242,0.03372304
18-2-10-8-32_4-1-2-2-64-2-0.95,0.020956803,0.033906553
24-2-10-8-32_4-1-2-2-64-1-0.95,0.019996986,0.03473237
24-2-10-8-16_4-1-3-2-128-1-0.95,0.05715386,0.07533016
24-2-10-8-16_4-1-2-2-64-2-0.95,0.019916315,0.03583433
24-4-8-8-16_4-1-2-2-64-1-0.95,0.025477543,0.03365659
18-4-8-8-16_4-1-3-2-128-1-0.95,0.021508174,0.04764928
24-2-10-8-32_4-1-3-2-64-2-0.95,0.055498388,0.03922691
24-4-8-8-16_4-1-2-2-128-2-0.95,0.021339057,0.03256852
24-2-8-8-32_4-1-2-2-64-2-0.95,0.020472094,0.03413012
24-2-8-8-16_4-1-2-2-128-1-0.95,0.021105945,0.033115968
18-4-8-8-32_4-1-2-2-64-1-0.95,0.020170826,0.034802232
18-4-10-8-16_4-1-3-2-128-1-0.95,0.049456924,0.05685115
18-4-8-8-32_4-1-3-2-64-2-0.95,0.02269113,0.03779669
18-4-8-8-16_4-1-2-2-64-2-0.95,0.021502685,0.03297511
18-4-10-8-32_4-1-2-2-64-1-0.95,0.019383658,0.03272403
24-4-10-8-16_4-1-2-2-128-2-0.95,0.019975787,0.03270141
24-2-10-8-16_4-1-2-2-128-1-0.95,0.020494051,0.031749357
24-2-10-8-32_4-1-2-2-64-2-0.95,0.022091717,0.034103714
24-4-8-8-16_4-1-3-2-128-1-0.95,0.079409234,0.038741753
18-4-10-8-32_4-1-3-2-64-2-0.95,0.03714524,0.04499652
18-4-8-8-32_4-1-3-2-128-1-0.95,0.022355393,0.03842472
18-4-10-8-16_4-1-2-2-64-2-0.95,0.020534944,0.03285771
18-2-8-8-16_4-1-3-2-128-2-0.95,0.024305291,0.043855526
24-4-10-8-16_4-1-2-2-64-1-0.95,0.022487776,0.03651119
18-2-8-8-32_4-1-2-2-128-1-0.95,0.01944242,0.033445504
24-4-8-8-32_4-1-2-2-64-1-0.95,0.02058735,0.032816008
18-4-10-8-32_4-1-3-2-128-1-0.95,0.03935178,0.06874343
18-2-8-8-16_4-1-3-2-64-1-0.95,0.02277359,0.04001003
24-4-8-8-32_4-1-3-2-64-2-0.95,0.022046097,0.037974898
