model,MAE,RMSE
model,MAE,RMSE
12-2-4-8-16_4-1-3-2-16-1-0.95,0.027751852,0.038308498
12-4-4-8-16_4-1-3-2-16-1-0.95,0.023771636,0.035203867
12-2-4-8-16_4-1-3-2-16-2-0.95,0.029567687,0.035654005
model,MAE,RMSE
12-2-4-8-16_4-1-3-2-16-2-0.5,0.020550326,0.034035694
12-2-4-8-16_4-1-3-2-16-1-0.5,0.02037762,0.033041015
12-4-4-8-16_4-1-3-2-16-2-0.5,0.020312903,0.03265829
12-4-4-8-16_4-1-3-2-16-1-0.5,0.02039916,0.03313078
12-2-8-8-16_4-1-3-2-16-1-0.5,0.022011295,0.0351236
12-2-8-8-16_4-1-3-2-16-2-0.5,0.021153627,0.03449194
12-4-4-8-16_4-1-2-2-16-2-0.5,0.021058109,0.03328156
12-4-8-8-16_4-1-3-2-16-1-0.5,0.020960525,0.034275476
12-2-4-8-16_4-1-2-2-16-2-0.5,0.021122633,0.033265658
12-2-4-8-16_4-1-2-2-32-1-0.5,0.021662476,0.033658214
12-4-8-8-16_4-1-3-2-16-2-0.5,0.021225408,0.034485463
12-4-4-8-16_4-1-2-2-32-1-0.5,0.02085059,0.03307929
12-4-4-8-16_4-1-3-2-32-1-0.5,0.021058565,0.032966867
12-2-4-8-16_4-1-3-2-32-1-0.5,0.02069736,0.032612707
12-4-4-8-16_4-1-2-2-16-1-0.5,0.020995395,0.033205315
12-2-4-8-16_4-1-2-2-16-1-0.5,0.020915177,0.033085153
12-4-8-8-16_4-1-3-2-32-1-0.5,0.022816528,0.03598312
12-2-4-8-16_4-1-2-2-32-2-0.5,0.021015003,0.033293366
12-2-8-8-16_4-1-3-2-32-1-0.5,0.020769097,0.03355123
12-2-4-8-16_4-1-3-2-32-2-0.5,0.021731326,0.033412036
12-4-4-8-16_4-1-2-2-32-2-0.5,0.02117857,0.03333358
model,MAE,RMSE
12-4-4-8-16_4-3-3-2-16-1-0.5,0.021711683,0.03372345
12-2-4-8-16_4-3-2-2-16-1-0.5,0.022383451,0.034880307
12-4-4-8-16_4-3-2-2-16-1-0.5,0.025081389,0.03673776
12-2-4-8-16_4-3-2-2-16-2-0.5,0.022907829,0.036794316
model,MAE,RMSE
12-2-4-8-16_4-3-3-2-16-1-0.15,0.02291459,0.033783946
12-2-4-8-16_4-3-3-2-16-2-0.15,0.023093844,0.034292754
12-2-4-8-16_4-3-2-2-16-1-0.3,0.026271215,0.036948927
12-2-4-8-16_4-3-3-2-16-1-0.3,0.021757431,0.033793863
12-2-4-8-16_4-3-2-2-16-1-0.15,0.023887167,0.03536536
12-2-4-8-16_4-3-2-2-16-2-0.15,0.024706533,0.035552267
12-2-4-8-16_4-3-2-2-16-1-0.5,0.028637057,0.03907594
12-2-4-8-16_4-3-3-2-16-1-0.5,0.021282883,0.033091176
12-2-4-8-16_4-3-3-2-16-2-0.3,0.022054419,0.033204302
12-2-4-8-16_4-3-2-2-16-2-0.5,0.026283314,0.03660784
12-2-4-8-16_4-3-2-2-16-2-0.3,0.023139248,0.03477574
12-2-4-8-16_4-3-3-2-16-2-0.5,0.02199814,0.034196872
12-2-4-8-16_4-3-2-2-16-1-0.75,0.029433645,0.038691532
12-2-4-8-16_4-3-3-2-16-1-0.75,0.04969974,0.05736472
12-2-4-8-16_4-3-3-2-16-2-0.75,0.021784578,0.033388354
12-2-4-8-16_4-3-3-2-16-1-0.9,0.029512387,0.039944008
12-2-4-8-16_4-3-2-2-16-2-0.75,0.024767423,0.036011744
12-2-4-8-16_4-3-2-2-16-1-0.9,0.02501728,0.0371433
12-2-4-8-16_4-3-2-2-16-2-0.9,0.026559023,0.040942363
12-2-4-8-16_4-3-3-2-16-2-0.9,0.023964472,0.037174575
model,MAE,RMSE
18-2-4-8-16_4-3-2-2-16-2-0.15,0.031947225,0.041496444
18-2-4-8-16_4-3-3-2-16-1-0.15,0.030710723,0.038722873
18-2-4-8-16_4-3-3-2-16-2-0.15,0.03600908,0.042922724
